story_index,story_name,nans_2,infs_2,min_2,mean_2,max_2,q_25_2,q_50_2,q_75_2,nans_3,infs_3,min_3,mean_3,max_3,q_25_3,q_50_3,q_75_3
0,stumblinginthedark,0,0,-7.7974149,0.0,10.7204239,-0.67260321,-0.00297701,0.66948337,0,0,-10.20294507,-0.0,11.83057863,-0.6691684,-0.00328547,0.66682313
1,singlewomanseekingmanwich,0,0,-10.16511908,-0.0,11.12930171,-0.67528769,-0.00227318,0.67218095,0,0,-9.52215097,-0.0,10.06726008,-0.67642596,-0.00445709,0.67103982
2,theclosetthatateeverything,0,0,-12.5571923,-0.0,11.25228847,-0.6758781,-0.00241506,0.67259956,0,0,-10.26639041,-0.0,9.62138282,-0.66976672,-0.00839374,0.6605694
3,jugglingandjesus,0,0,-8.64714634,0.0,9.96028524,-0.6722588,-0.00179381,0.67011101,0,0,-9.58327319,0.0,7.94245181,-0.67831479,-0.0067301,0.67114558
4,threemonths,0,0,-10.53600119,-0.0,10.54440488,-0.66454673,0.00370299,0.66904886,0,0,-16.2735222,-0.0,16.46682641,-0.64795805,-0.00423979,0.64416783
5,escapingfromadirediagnosis,0,0,-7.03812605,-0.0,7.79948298,-0.67465053,-0.00282944,0.67176185,0,0,-16.70955108,-0.0,16.97828267,-0.61815222,0.00556935,0.62960456
6,wildwomenanddancingqueens,0,0,-10.42338469,-0.0,10.16667886,-0.67679719,-0.00279559,0.67366643,0,0,-11.68626425,-0.0,10.5673292,-0.65598697,-0.01491581,0.64075371
7,igrewupinthewestborobaptistchurch,0,0,-12.49839571,-0.0,14.35623046,-0.67025571,-0.00201588,0.66895764,0,0,-14.39197892,-0.0,11.68009556,-0.64429965,-0.00703472,0.63705909
8,undertheinfluence,0,0,-6.38545388,-0.0,6.73941466,-0.67785851,5.853e-05,0.67764337,0,0,-10.05814661,0.0,13.44564774,-0.65672392,0.00046314,0.66021014
9,quietfire,0,0,-11.08149019,0.0,15.71921711,-0.66808126,-0.00062481,0.66701038,0,0,-14.2853911,0.0,16.27987404,-0.67356254,-0.00872248,0.66436293
10,exorcism,0,0,-10.40403367,-0.0,10.19981727,-0.66790231,-0.00303702,0.665031,0,0,-13.57149048,0.0,15.12225035,-0.66058657,-0.00658344,0.65293618
11,sweetaspie,0,0,-9.36425072,-0.0,9.41517851,-0.67592666,-0.00198107,0.67380444,0,0,-8.21238562,0.0,6.8755814,-0.67494716,-0.00335558,0.67101012
