story_index,story_name,words,chars
0,stumblinginthedark,2681,13350
1,singlewomanseekingmanwich,1486,7411
2,theclosetthatateeverything,1928,9646
3,jugglingandjesus,887,4552
4,threemonths,2062,9709
5,escapingfromadirediagnosis,1423,7565
6,wildwomenanddancingqueens,1218,5997
7,igrewupinthewestborobaptistchurch,2449,13377
8,undertheinfluence,1641,8500
9,quietfire,1905,9474
10,exorcism,2949,14584
11,sweetaspie,697,3584
12,becomingindian,2619,13157
13,whenmothersbullyback,1488,8103
14,superheroesjustforeachother,1440,7688
15,againstthewind,838,4154
16,indianapolis,1554,8512
17,goingthelibertyway,2471,12184
18,theshower,1383,7124
19,bluehope,1941,10108
20,adventuresinsayingyes,2309,11506
21,seedpotatoesofleningrad,1376,7970
22,lifereimagined,1800,8935
23,backsideofthestorm,1964,9683
24,thepostmanalwayscalls,2220,10783
25,itsabox,1708,8256
26,catfishingstrangerstofindmyself,1522,7752
27,waitingtogo,1587,8210
28,afearstrippedbare,1763,9150
29,odetostepfather,2675,12456
30,christmas1940,1261,6200
31,haveyoumethimyet,2985,14808
32,tildeath,2297,11218
33,lifeanddeathontheoregontrail,2389,11690
34,hangtime,1927,9471
35,reachingoutbetweenthebars,1490,8017
36,cocoonoflove,1984,9752
37,findingmyownrescuer,1498,7801
38,naked,3218,15370
39,fromboyhoodtofatherhood,2755,13154
40,theadvancedbeginner,1624,7917
41,food,2064,10432
42,gangstersandcookies,1547,7635
43,souls,1868,9561
44,goldiethegoldfish,1680,8462
45,lawsthatchokecreativity,2084,11814
46,mayorofthefreaks,3274,16058
47,howtodraw,1964,9892
48,cautioneating,1587,7962
49,mybackseatviewofagreatromance,1794,9548
50,treasureisland,1763,8667
51,golfclubbing,1211,5686
52,beneaththemushroomcloud,1916,10011
53,googlingstrangersandkentuckybluegrass,2547,13822
54,marryamanwholoveshismother,1532,8158
55,inamoment,966,4923
56,thefreedomridersandme,1606,7794
57,firetestforlove,2286,11292
58,thecurse,2054,10122
59,myfathershands,942,4638
60,swimmingwithastronauts,2127,10564
61,breakingupintheageofgoogle,3476,17043
62,forgettingfear,1240,6461
63,afatherscover,1182,6026
64,thesecrettomarriage,1486,7678
65,ifthishaircouldtalk,1854,9104
66,comingofageondeathrow,2212,11140
67,avatar,1469,7320
68,canadageeseandddp,2559,14174
69,wheretheressmoke,1839,8794
70,tetris,1350,7787
71,kiksuya,1699,8508
72,leavingbaghdad,1976,9596
73,legacy,1893,9500
74,adollshouse,1656,8232
75,buck,1677,8098
76,listo,2371,11293
77,life,2209,10617
78,metsmagic,1477,7289
79,alternateithicatom,2174,10921
80,theinterview,1079,5218
81,whyimustspeakoutaboutclimatechange,2336,13550
82,thumbsup,3083,15574
83,shoppinginchina,1731,8926
84,stagefright,2067,10001
85,thetriangleshirtwaistconnection,1448,7130
86,onapproachtopluto,1357,7054
87,sloth,2403,12282
88,vixenandtheussr,2074,10529
89,thesurprisingthingilearnedsailingsoloaroundtheworld,2855,15226
90,thetiniestbouquet,964,4672
91,gpsformylostidentity,1650,8572
92,eyespy,2336,11732
93,learninghumanityfromdogs,1484,7602
94,canplanetearthfeedtenbillionpeoplepart1,2341,14161
95,birthofanation,1590,8297
96,canplanetearthfeedtenbillionpeoplepart2,2532,15344
97,notontheusualtour,1431,7301
98,canplanetearthfeedtenbillionpeoplepart3,2066,12548
99,thatthingonmyarm,2073,10222
100,penpal,1592,7809
